Network,Program,Season,Campaign Type,Campaign Custom,Start Year,Start Month,Start Day,End Year,End Month,End Day,Campaign ID,Agency,Publisher,Buy Method,Inventory Type,Package Custom,Package ID,Episode Start,Episode End,Tentpole Details,Tactic,Device,Ad Type,Targeting Type 1,Targeting Type 2,Targeting Type 3,Targeting Type 4,Audience Type,Width,Height,Placement ID,Creative Group,Ad Custom,Ad ID,Creative Network,Creative Program,Creative Season,Creative Message,Creative Theme Custom,Creative Version Number,A/B Test Label,Video Length,Creative Start Month,Creative Start Day,Creative End Month,Creative End Day,Creative Id,Omniture Code
MTV,Wild 'n Out,S09,Tune-In,X,2017,06,26,2017,10,05,MTV_WDNO_S09_TI_X_20170626-20171005,ASG,DBM,Dynamic CPM,Run of Exchange,X,MTV_WDNO_S09_ASG_GDBM_DCI_ROE_X,E11,E11,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,MTV_WDNO_S09_E11-E11_ASG_VID_DMT_GDBM_DCI_NSV_ROE_BT-XX-XX-XX_X_X_0626-1005,Sustaining,RickRoss,MTV_WDNO_S09_SUS_GDBM_X_RickRoss,N/A,N/A,N/A,Thursday,RickRoss,01,Not Applicable,15s,08,29,08,30,MTV_WDNO_S09_SUS_TH_RickRoss_01_XX_15s_0829-0830,/?xrs=crm_MTV_WDNO_S09_GDBM
Nick Consumer Marketing,Nick Everyday,N/A,Tune-In,Q3,2017,07,01,2017,09,30,NCM_NEVD_X_TI_Q3_20170701-20170930,ASG,Traction Labs,CPM,Run of Site,Desktop,,,,X,Video,Desktop,Non-Skippable Video,Contextual,Day Parting,None,None,Desktop-15s,,,,Always On,15s,,Nick Consumer Marketing,Welcome to the Wayne,S01,This Week,X,01,Not Applicable,15s,07,20,07,27,NCM_NEVD_X_AON_TW_NCM-WTHW-S01-X_01_XX_15s_0720-0727,
MTV,Teen Mom 2,S08,Tune-In,X,2017,07,13,2017,08,07,MTV_TNM2_S08_TI_X_20170713-20170807,ASG,DBM,Dynamic CPM,Run of Exchange,X,MTV_TNM2_S08_ASG_GDBM_DCI_ROE_X,E01,E04,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,REVISED,,,MTV_TNM2_S08_E01-E04_ASG_VID_DMT_GDBM_DCI_NSV_ROE_BT-XX-XX-XX_REVISED_X_0713-0807,Sustaining,Native-MC-0721-0807,MTV_TNM2_S08_SUS_GDBM_X_Native-MC-0721-0807,N/A,N/A,N/A,Tonight,X,01,Not Applicable,30s,07,24,08,07,MTV_TNM2_S08_SUS_TN_X_01_XX_30s_0724-0807,/?xrs=crm_MTV_TNM2_S08_GDBM
Nick Apps,Noggin,N/A,App Downloads,X,2017,08,17,2017,08,21,NAP_NOGG_X_AD_X_20170817-20170821,ASG,Snapchat,Dynamic CPM,Run of Site,X,NAP_NOGG_X_ASG_SNPC_DCI_ROS_X,E01,E01,X,Social,Mobile/Tablet,Non-Skippable Video,Behavioral,Demographic,None,None,X,,,NAP_NOGG_X_X_ASG_SOC_MTX_SNPC_DCI_NSV_ROS_BT-DM-XX-XX_X_X_0817-0821,Social Boost,X,NAP_NOGG_X_SLB_SNPC_X_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,10s,08,17,08,21,NAP_NOGG_X_SLB_MC_X_01_XX_10s_0817-0821,/?xid=crm_NAP_NOGG_X_SNPC
Nick Jr,Sunny Day,S01,Tune-In,X,2017,08,11,,08,25,NKJ_SNDY_S01_TI_X_20170811-20170825,ASG,YouTube,Dynamic CPV (Cost per View),Run of Site,CoViewing,NKJ_SNDY_S01_ASG_YTBE_DVW_ROS_CoViewing,E01,E03,X,Video,Desktop/Mobile/Tablet,Skippable Video,Contextual,Conquesting,Behavioral,None,CoViewing,,,NKJ_SNDY_S01_E01-E03_ASG_VID_DMT_YTBE_DVW_SVD_ROS_CT-CQ-BT-XX_CoViewing_X_0811-0825,Pre-Premiere,CoViewing,NKJ_SNDY_S01_PPR_YTBE_X_CoViewing,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),CoViewing,01,Not Applicable,30s,01,11,08,21,NKJ_SNDY_S01_PPR_MC_CoViewing_01_XX_30s_0111-0821,/?xid=crm_NKJ_SNDY_S01_YTBE
Nick Publishing,Ad Hoc,N/A,Product,X,2017,08,14,2017,08,18,NKP_ADHC_X_PD_X_20170814-20170818,ASG,Instagram,Dynamic CPC,Run of Site,X,NKP_ADHC_X_ASG_INGM_DCC_ROS_X,,,X,Social,Mobile/Tablet,Static Image,Behavioral,None,None,None,X,1,1,NKP_ADHC_X_X_ASG_SOC_MTX_INGM_DCC_IMG_ROS_BT-XX-XX-XX_X_1x1_0814-0818,Consumer Product,X,NKP_ADHC_X_CRP_INGM_1x1_X,N/A,N/A,N/A,Now,X,01,Not Applicable,,08,14,08,18,NKP_ADHC_X_CRP_NW_X_01_XX_1x1_0814-0818,/?xid=crm_NKP_ADHC_X_INGM
Nick Partner Marketing ,Ad Hoc,N/A,Awareness,X,2017,08,14,2017,09,30,NPM_ADHC_X_AW_X_20170814-20170930,ASG,Pinterest,CPM,Run of Site,X,NPM_ADHC_X_ASG_PNST_CPM_ROS_X,,,X,Social,Desktop/Mobile/Tablet,Static Image,Behavioral,None,None,None,X,1,1,NPM_ADHC_X_X_ASG_SOC_DMT_PNST_CPM_IMG_ROS_BT-XX-XX-XX_X_1x1_0814-0930,Consumer Product,Pedigree,NPM_ADHC_X_CRP_PNST_1x1_Pedigree,N/A,N/A,N/A,,,,,,,,,,,
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,YouTube,Dynamic CPV (Cost per View),Run of Site,InStream-VMN1P-Core,MTV_VMAS_TPL_ASG_YTBE_DVW_ROS_InStream-VMN1P-Core,,,X,Video,Desktop/Mobile/Tablet,Skippable Video,Behavioral,None,None,None,VMN1P-YTInterestCore,,,MTV_VMAS_TPL_X_ASG_VID_DMT_YTBE_DVW_SVD_ROS_BT-XX-XX-XX_VMN1P-YTInterestCore_X_0814-0827,Pre-Premiere,PrimetimeReminder,MTV_VMAS_TPL_PPR_YTBE_X_PrimetimeReminder,MTV,VMAs,Tentpole,Tonight,X,01,Not Applicable,15s,08,27,08,27,MTV_VMAS_TPL_PPR_TN_X_01_XX_15s_0827-0827,/?xrs=crm_MTV_VMAS_TPL_YTBE
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Google Search,Dynamic CPC,Run of Site,X,MTV_VMAS_TPL_ASG_GSRC_DCC_ROS_X,,,X,Search,Desktop/Mobile/Tablet,Text Link,Conquesting,None,None,None,X,1,1,MTV_VMAS_TPL_X_ASG_SRC_DMT_GSRC_DCC_TXT_ROS_CQ-XX-XX-XX_X_1x1_0814-0827,Pre-Premiere,X,MTV_VMAS_TPL_PPR_GSRC_1x1_X,MTV,VMAs,Tentpole,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,,08,14,08,27,MTV_VMAS_TPL_PPR_MC_X_01_XX_1x1_0814-0827,/?xrs=crm_MTV_VMAS_TPL_GSRC
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,DBM,Dynamic CPM,Run of Exchange,X,MTV_VMAS_TPL_ASG_GDBM_DCI_ROE_X,,,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,PerformerA,,,MTV_VMAS_TPL_X_ASG_VID_DMT_GDBM_DCI_NSV_ROE_BT-XX-XX-XX_PerformerA_X_0814-0827,Pre-Premiere,LaundryList,MTV_VMAS_TPL_PPR_GDBM_X_LaundryList,MTV,VMAs,Tentpole,Tomorrow,LaundryList,01,Not Applicable,30s,08,26,08,26,MTV_VMAS_TPL_PPR_TM_LaundryList_01_XX_30s_0826-0826,/?xrs=crm_MTV_VMAS_TPL_GDBM
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,YouTube,Dynamic CPM,Run of Site,Bumpers,MTV_VMAS_TPL_ASG_YTBE_DCI_ROS_Bumpers,,,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,InStream-Retargeting,,,MTV_VMAS_TPL_X_ASG_VID_DMT_YTBE_DCI_NSV_ROS_BT-XX-XX-XX_InStream-Retargeting_X_0814-0827,Pre-Premiere,Bumpers,MTV_VMAS_TPL_PPR_YTBE_X_Bumpers,MTV,VMAs,Tentpole,Day Date Time,X,01,Not Applicable,05s,08,25,08,27,MTV_VMAS_TPL_PPR_DT_X_01_XX_05s_0825-0827,/?xrs=crm_MTV_VMAS_TPL_YTBE
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,YouTube,CPM,Run of Site,PrimetimeReminder,MTV_VMAS_TPL_ASG_YTBE_CPM_ROS_PrimetimeReminder,,,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,YTAffinityandTopic,,,MTV_VMAS_TPL_X_ASG_VID_DMT_YTBE_CPM_NSV_ROS_BT-XX-XX-XX_YTAffinityandTopic_X_0814-0827,Pre-Premiere,Bumpers-InStream-Retargeting,MTV_VMAS_TPL_PPR_YTBE_X_Bumpers-InStream-Retargeting,MTV,VMAs,Tentpole,Multiple Creative Rotation (tracking pixel),EdSheeran,01,Not Applicable,05s,08,25,08,27,MTV_VMAS_TPL_PPR_MC_EdSheeran_01_XX_05s_0825-0827,/?xrs=crm_MTV_VMAS_TPL_YTBE
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,Interest-PageLikers,MTV_VMAS_TPL_ASG_FCBK_DVW_ROS_Interest-PageLikers,,,X,Social,Desktop/Mobile/Tablet,Skippable Video,Behavioral,Demographic,None,None,Interest-PageLikers,,,MTV_VMAS_TPL_X_ASG_SOC_DMT_FCBK_DVW_SVD_ROS_BT-DM-XX-XX_Interest-PageLikers_X_0814-0827,Pre-Premiere,X,MTV_VMAS_TPL_PPR_FCBK_X_X,MTV,VMAs,Tentpole,Sunday,X,01,Not Applicable,30s,08,23,08,25,MTV_VMAS_TPL_PPR_SU_X_01_XX_30s_0823-0825,/?xrs=crm_MTV_VMAS_TPL_FCBK
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Instagram,Dynamic CPV (Cost per View),Run of Site,Video-Reengagement,MTV_VMAS_TPL_ASG_INGM_DVW_ROS_Video-Reengagement,,,X,Social,Mobile/Tablet,Skippable Video,Behavioral,Demographic,None,None,Video-Reengagement,,,MTV_VMAS_TPL_X_ASG_SOC_MTX_INGM_DVW_SVD_ROS_BT-DM-XX-XX_Video-Reengagement_X_0814-0827,Pre-Premiere,IG-Stories,MTV_VMAS_TPL_PPR_INGM_X_IG-Stories,MTV,VMAs,Tentpole,Multiple Creative Rotation (tracking pixel),30SectoMars,01,Not Applicable,05s,08,23,08,27,MTV_VMAS_TPL_PPR_MC_30SectoMars_01_XX_05s_0823-0827,/?xrs=crm_MTV_VMAS_TPL_INGM
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,Boosted-Posts,MTV_VMAS_TPL_ASG_FCBK_DVW_ROS_Boosted-Posts,,,X,Social,Desktop/Mobile/Tablet,Skippable Video,Behavioral,Demographic,None,None,Boosted-Posts,,,MTV_VMAS_TPL_X_ASG_SOC_DMT_FCBK_DVW_SVD_ROS_BT-DM-XX-XX_Boosted-Posts_X_0814-0827,Pre-Premiere,X,MTV_VMAS_TPL_PPR_FCBK_X_X,MTV,VMAs,Tentpole,Sunday,X,01,Not Applicable,30s,08,14,08,27,MTV_VMAS_TPL_PPR_SU_X_01_XX_30s_0814-0827,/?xrs=crm_MTV_VMAS_TPL_FCBK
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,Mid-Roll,MTV_VMAS_TPL_ASG_FCBK_DVW_ROS_Mid-Roll,,,X,Social,Mobile/Tablet,Skippable Video,Behavioral,Demographic,None,None,Mid-Roll,,,MTV_VMAS_TPL_X_ASG_SOC_MTX_FCBK_DVW_SVD_ROS_BT-DM-XX-XX_Mid-Roll_X_0814-0827,Pre-Premiere,X,MTV_VMAS_TPL_PPR_FCBK_X_X,MTV,VMAs,Tentpole,Tonight,X,01,Not Applicable,30s,08,27,08,27,MTV_VMAS_TPL_PPR_TN_X_01_XX_30s_0827-0827,/?xrs=crm_MTV_VMAS_TPL_FCBK
MTV,Undressed,S01,Tune-In,X,2017,08,15,2017,08,16,MTV_UNDS_S01_TI_X_20170815-20170816,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,X,MTV_UNDS_S01_ASG_FCBK_DVW_ROS_X,E01,E01,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,Demographic,None,None,X,,,MTV_UNDS_S01_E01-E01_ASG_VID_DMT_FCBK_DVW_NSV_ROS_BT-DM-XX-XX_X_X_0815-0816,Pre-Premiere,X,MTV_UNDS_S01_PPR_FCBK_X_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,45s,08,15,01,16,MTV_UNDS_S01_PPR_MC_X_01_XX_45s_0815-0116,/?xrs=crm_MTV_UNDS_S01_FCBK
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Snapchat,CPM,Takeover,X,MTV_VMAS_TPL_ASG_SNPC_CPM_TKR_X,,,X,Social,Mobile/Tablet,Skippable Video,Behavioral,Demographic,None,None,13-34,,,MTV_VMAS_TPL_X_ASG_SOC_MTX_SNPC_CPM_SVD_TKR_BT-DM-XX-XX_13-34_X_0814-0827,Pre-Premiere,DiscoverRB,MTV_VMAS_TPL_PPR_SNPC_X_DiscoverRB,MTV,VMAs,Tentpole,Tonight,X,01,Not Applicable,30s,08,27,08,01,MTV_VMAS_TPL_PPR_TN_X_01_XX_30s_0827-0801,/?xrs=crm_MTV_VMAS_TPL_SNPC
MTV,VMAs,Tentpole,Tune-In,X,2017,08,14,2017,08,27,MTV_VMAS_TPL_TI_X_20170814-20170827,ASG,Twitter,Dynamic CPE (Cost per Engagement),Run of Site,LiveTweets,MTV_VMAS_TPL_ASG_TWTR_DCE_ROS_LiveTweets,,,X,Social,Desktop/Mobile/Tablet,Social Mix,Conquesting,Behavioral,None,None,LiveTweets,1,1,,Pre-Premiere,LiveTweets,MTV_VMAS_TPL_PPR_TWTR_1x1_LiveTweets,MTV,VMAs,Tentpole,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,,08,27,08,27,,/?xrs=crm_MTV_VMAS_TPL_TWTR
Velocity,VMAs,Tentpole,Tune-In,TacoBell,2017,08,18,2017,08,27,VCT_VMAS_TPL_TI_TacoBell_20170818-20170827,ASG,Google Search,CPC,Run of Site,TacoBell,VCT_VMAS_TPL_ASG_GSRC_CPC_ROS_TacoBell,,,X,Search,Desktop/Mobile/Tablet,Text Link,None,None,None,None,TacoBell,1,1,VCT_VMAS_TPL_X_ASG_SRC_DMT_GSRC_CPC_TXT_ROS_XX-XX-XX-XX_TacoBell_1x1_0818-0827,Pre-Premiere,TacoBellVote-MC-0818-0827,VCT_VMAS_TPL_PPR_GSRC_1x1_TacoBellVote-MC-0818-0827,MTV,VMAs,Tentpole,Multiple Creative Rotation (tracking pixel),TacoBellVote,01,Not Applicable,,08,18,08,27,VCT_VMAS_TPL_PPR_MC_TacoBellVote_01_XX_1x1_0818-0827,/?xrs=crm_VCT_VMAS_TPL_GSRC
Nick Retail,JoJo at Walmart,N/A,Tune-In,X,2017,08,25,2017,09,30,NKR_JOWM_X_TI_X_20170825-20170930,ASG,Pinterest,CPM,Run of Site,X,NKR_JOWM_X_ASG_PNST_CPM_ROS_X,,,X,Social,Desktop/Mobile/Tablet,Static Image,Behavioral,None,None,None,X,1,1,NKR_JOWM_X_X_ASG_SOC_DMT_PNST_CPM_IMG_ROS_BT-XX-XX-XX_X_1x1_0825-0930,Consumer Product,BodaciousBow,NKR_JOWM_X_CRP_PNST_1x1_BodaciousBow,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),BodaciousBow,01,Not Applicable,,08,20,09,30,NKR_JOWM_X_CRP_MC_BodaciousBow_01_XX_1x1_0820-0930,/?xid=crm_NKR_JOWM_X_PNST
MTV,Almost Impossible Game Show,,,,2017,,,2017,,,,ASG,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,
MTV,TRL,S01,Tune-In,Phase1,2017,08,28,2017,08,28,MTV_MTRL_S01_TI_Phase1_20170828-20170828,ASG,Twitter,Dynamic CPV (Cost per View),Run of Site,X,MTV_MTRL_S01_ASG_TWTR_DVW_ROS_X,E01,E01,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,MTV_MTRL_S01_E01-E01_ASG_VID_DMT_TWTR_DVW_NSV_ROS_BT-XX-XX-XX_X_X_0828-0828,Pre-Premiere,X,MTV_MTRL_S01_PPR_TWTR_X_X,N/A,N/A,N/A,Day Date Time,X,01,Not Applicable,15s,08,28,08,28,MTV_MTRL_S01_PPR_DT_X_01_XX_15s_0828-0828,/?xrs=crm_MTV_MTRL_S01_TWTR
Nick Consumer Marketing,I Am Frankie,S01,Tune-In,X,2017,08,30,2017,09,15,NCM_IAFK_S01_TI_X_20170830-20170915,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,X,NCM_IAFK_S01_ASG_FCBK_DVW_ROS_X,E01,E05,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,NCM_IAFK_S01_E01-E05_ASG_VID_DMT_FCBK_DVW_NSV_ROS_BT-XX-XX-XX_X_X_0830-0915,Pre-Premiere,X,NCM_IAFK_S01_PPR_FCBK_X_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,30s,09,03,09,14,NCM_IAFK_S01_PPR_MC_X_01_XX_30s_0903-0914,/?xid=crm_NCM_IAFK_S01_FCBK
Nick Consumer Marketing,I Am Frankie,S01,Tune-In,X,2017,08,30,2017,09,15,NCM_IAFK_S01_TI_X_20170830-20170915,ASG,Snapchat,Dynamic CPM,Run of Site,X,NCM_IAFK_S01_ASG_SNPC_DCI_ROS_X,E12,E16,X,Video,Mobile/Tablet,Skippable Video,Behavioral,None,none,none,13-17,,,NCM_IAFK_S01_E12-E16_ASG_VID_MTX_SNPC_DCI_SVD_ROS_BT-XX-XX-XX_13-17_X_0830-0915,Sustaining,X,NCM_IAFK_S01_SUS_SNPC_X_X,N/A,N/A,N/A,Weeknights ,X,01,Not Applicable,10s,09,23,09,30,,/?xid=crm_NCM_IAFK_S01_SNPC
Nick Consumer Marketing,I Am Frankie,S01,Tune-In,X,2017,08,30,2017,09,15,NCM_IAFK_S01_TI_X_20170830-20170915,ASG,Instagram,Dynamic CPV (Cost per View),Run of Site,IGStories,NCM_IAFK_S01_ASG_INGM_DVW_ROS_IGStories,E01,E03,X,Video,Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,none,X,,,NCM_IAFK_S01_E01-E03_ASG_VID_MTX_INGM_DVW_NSV_ROS_BT-XX-XX-XX_X_X_0830-0915,Pre-Premiere,IGStories,NCM_IAFK_S01_PPR_INGM_X_IGStories,N/A,N/A,N/A,OnDemand,IGStories,01,Not Applicable,30s,09,11,01,12,NCM_IAFK_S01_PPR_OD_IGStories_01_XX_30s_0911-0112,/?xid=crm_NCM_IAFK_S01_INGM
Nick Consumer Marketing,I Am Frankie,S01,Tune-In,X,2017,08,30,2017,09,15,NCM_IAFK_S01_TI_X_20170830-20170915,ASG,YouTube,Dynamic CPM,Run of Site,Bumpers,NCM_IAFK_S01_ASG_YTBE_DCI_ROS_Bumpers,E12,E16,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,Bumpers,,,NCM_IAFK_S01_E12-E16_ASG_VID_DMT_YTBE_DCI_NSV_ROS_BT-XX-XX-XX_Bumpers_X_0830-0915,Sustaining,Bumpers,NCM_IAFK_S01_SUS_YTBE_X_Bumpers,N/A,N/A,N/A,Weeknights ,Bumpers,01,Not Applicable,05s,09,26,09,30,,/?xid=crm_NCM_IAFK_S01_YTBE
MTV,TRL,S01,Social Acquisition,Phase2,2017,08,29,2017,08,29,MTV_MTRL_S01_AC_Phase2_20170829-20170829,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,X,MTV_MTRL_S01_ASG_FCBK_DVW_ROS_X,E01,E01,X,Social,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,MTV_MTRL_S01_E01-E01_ASG_SOC_DMT_FCBK_DVW_NSV_ROS_BT-XX-XX-XX_X_X_0829-0829,Social Boost,X,MTV_MTRL_S01_SLB_FCBK_X_X,N/A,N/A,N/A,Day Date Time,X,01,Not Applicable,15s,08,29,08,29,MTV_MTRL_S01_SLB_DT_X_01_XX_15s_0829-0829,/?xrs=crm_MTV_MTRL_S01_FCBK
