Network,Program,Season,Campaign Type,Campaign Custom,Start Year,Start Month,Start Day,End Year,End Month,End Day,Campaign ID,Agency,Publisher,Buy Method,Inventory Type,Package Custom,Package ID,Episode Start,Episode End,Tentpole Details,Tactic,Device,Ad Type,Targeting Type 1,Targeting Type 2,Targeting Type 3,Targeting Type 4,Audience Type,Width,Height,Placement ID,Creative Group,Ad Custom,Ad ID,Creative Network,Creative Program,Creative Season,Creative Message,Creative Theme Custom,Creative Version Number,A/B Test Label,Video Length,Creative Start Month,Creative Start Day,Creative End Month,Creative End Day,Creative Id,Omniture Code
MTV,N/A,N/A,Site Traffic,VMA-TradeVarietyArticle,2017,08,29,2017,08,30,MTV_XXXX_X_ST_VMA-TradeVarietyArticle_20170829-20170830,ASG,Facebook,Dynamic CPC,Run of Site,VMA-TradeVarietyArticle,MTV_XXXX_X_ASG_FCBK_DCC_ROS_VMA-TradeVarietyArticle,E01,E01,X,Social,Desktop/Mobile/Tablet,Custom,Behavioral,None,None,None,VMA-TradeVarietyArticle,1,1,MTV_XXXX_X_X_ASG_SOC_DMT_FCBK_DCC_CTM_ROS_BT-XX-XX-XX_VMA-TradeVarietyArticle_1x1_0829-0830,Social Boost,VMA-TradeVarietyArticle,MTV_XXXX_X_SLB_FCBK_1x1_VMA-TradeVarietyArticle,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),VMA-TradeVarietyArticle,01,Not Applicable,,08,29,08,30,MTV_XXXX_X_SLB_MC_VMA-TradeVarietyArticle_01_XX_1x1_0829-0830,/?xrs=crm_MTV_XXXX_X_FCBK
Nick Jr,Rusty Rivets,N/A,Tune-In,X,2017,09,06,2017,09,14,NKJ_RSRV_X_TI_X_20170906-20170914,ASG,Google Search,Dynamic CPC,Run of Site,Parents,NKJ_RSRV_X_ASG_GSRC_DCC_ROS_Parents,E01,E02,X,Search,Desktop/Mobile/Tablet,Text Link,Conquesting,None,None,None,Parents,1,1,NKJ_RSRV_X_X_ASG_SRC_DMT_GSRC_DCC_TXT_ROS_CQ-XX-XX-XX_Parents_1x1_0906-0914,Pre-Premiere,MC-0906-0914,NKJ_RSRV_X_PPR_GSRC_1x1_MC-0906-0914,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,15s,09,06,09,14,NKJ_RSRV_X_PPR_MC_X_01_XX_1x1_0906-0914,/?xid=crm_NKJ_RSRV_X_GSRC
Nick Consumer Marketing,Welcome to the Wayne,N/A,Tune-In,X,2017,06,19,2017,09,21,NCM_WTHW_X_TI_X_20170619-20170921,ASG,Google Search,Dynamic CPC,Run of Site,X,NCM_WTHW_X_ASG_GSRC_DCC_ROS_X,E01,E01,X,Search,Desktop/Mobile/Tablet,Text Link,Behavioral,None,Behavioral,Behavioral,X,1,1,NCM_WTHW_X_X_ASG_SRC_DMT_GSRC_DCC_TXT_ROS_BT-XX-BT-BT_X_1x1_0619-0921,Pre-Premiere,X,NCM_WTHW_X_PPR_GSRC_1x1_X,Nick Consumer Marketing,I Am Frankie,N/A,This Week,X,01,Not Applicable,,09,05,09,16,NCM_WTHW_X_PPR_TW_X_01_XX_1x1_0905-0916,/?xid=crm_NCM_WTHW_X_GSRC
Nick Consumer Marketing,Nick Everyday,N/A,Tune-In,Q3,2017,07,02,2017,09,30,NCM_NEVD_X_TI_Q3_20170702-20170930,ASG,YouTube,CPM,Run of Site,Bumpers,NCM_NEVD_X_ASG_YTBE_CPM_ROS_Bumpers,,,Bumpers,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,Contextual,None,None,X,,,NCM_NEVD_X_Bumpers_ASG_VID_DMT_YTBE_CPM_NSV_ROS_BT-CT-XX-XX_X_X_0702-0930,Always On,Bumpers,NCM_NEVD_X_AON_YTBE_X_Bumpers,Nick Consumer Marketing,I Am Frankie,S01,Weeknights ,X,01,Not Applicable,05s,09,11,09,13,,/?xid=crm_NCM_NEVD_X_YTBE
Nick Consumer Marketing,Nick Everyday,N/A,Tune-In,Q3,2017,07,01,2017,09,30,NCM_NEVD_X_TI_Q3_20170701-20170930,ASG,Battery Pop,CPM,Run of Site,X,NCM_NEVD_X_ASG_BYPP_CPM_ROS_X,,,X,Video,Connected TV,Non-Skippable Video,Contextual,Day Parting,None,None,Gaming,,,NCM_NEVD_X_X_ASG_VID_CXX_BYPP_CPM_NSV_ROS_CT-DP-XX-XX_Gaming_X_0701-0930,Always On,X,NCM_NEVD_X_AON_BYPP_X_X,Nick Consumer Marketing,Welcome to the Wayne,S01,Now,Sept11,01,Not Applicable,30s,09,11,09,13,NCM_NEVD_X_AON_NW_NCM-WTHW-S01-Sept11_01_XX_30s_0911-0913,/?xid=crm_NCM_NEVD_X_BYPP
Nick Consumer Marketing,Henry Danger,S03,Tune-In,X,2017,09,05,2017,09,30,NCM_HYDG_S03_TI_X_20170905-20170930,ASG,Vistar Media,CPM,Run of Exchange,X,NCM_HYDG_S03_ASG_VSTM_CPM_ROE_X,E01,E03,X,Display Banner,Digital Billboard,Digital Out of Home,Geographic,None,None,None,X,1,1,,Pre-Premiere,X,NCM_HYDG_S03_PPR_VSTM_1x1_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),Chicago,01,Not Applicable,,09,05,09,30,,/?xid=crm_NCM_HYDG_S03_VSTM
Comedy Central,South Park,S21,Tune-In,X,2017,09,11,2017,12,06,CCL_STPK_S21_TI_X_20170911-20171206,ASG,Snapchat,Dynamic CPM,Run of Site,X,CCL_STPK_S21_ASG_SNPC_DCI_ROS_X,E01,E02,X,Social,Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,CCL_STPK_S21_E01-E02_ASG_SOC_MTX_SNPC_DCI_NSV_ROS_BT-XX-XX-XX_X_X_0911-1206,Pre-Premiere,X,CCL_STPK_S21_PPR_SNPC_X_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,10s,09,11,09,20,CCL_STPK_S21_PPR_MC_X_01_XX_10s_0911-0920,/?xrs=crm_CCL_STPK_S21_SNPC
Spike,Bellator,N/A,Ticket Sales,183-TicketSales,2017,09,11,,09,23,SPK_BLTR_X_TX_183-TicketSales_20170911-20170923,ASG,DBM,Dynamic CPM,Run of Exchange,183-TicketSales,SPK_BLTR_X_ASG_GDBM_DCI_ROE_183-TicketSales,E01,E01,X,Display Banner,Mobile,Static Image,Behavioral,None,None,None,183-TicketSales,480,320,SPK_BLTR_X_X_ASG_DIS_MXX_GDBM_DCI_IMG_ROE_BT-XX-XX-XX_183-TicketSales_480x320_0911-0923,Pre-Premiere,183-TicketSales,SPK_BLTR_X_PPR_GDBM_480x320_183-TicketSales,N/A,N/A,N/A,Day Date Time,183-TicketSales,01,Not Applicable,,09,11,09,23,SPK_BLTR_X_PPR_DT_183-TicketSales_01_XX_480x320_0911-0923,/?xrs=crm_SPK_BLTR_X_GDBM
Comedy Central,Broad City,S04,Tune-In,X,2017,09,11,,09,13,CCL_BDCY_S04_TI_X_20170911-20170913,ASG,Snapchat,Dynamic CPM,Run of Site,X,CCL_BDCY_S04_ASG_SNPC_DCI_ROS_X,E01,E01,X,Social,Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,CCL_BDCY_S04_E01-E01_ASG_SOC_MTX_SNPC_DCI_NSV_ROS_BT-XX-XX-XX_X_X_0911-0913,Pre-Premiere,X,CCL_BDCY_S04_PPR_SNPC_X_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,10s,09,11,09,13,CCL_BDCY_S04_PPR_MC_X_01_XX_10s_0911-0913,/?xrs=crm_CCL_BDCY_S04_SNPC
Nick Retail,You Bring the Color,N/A,Product,X,2017,09,11,2017,09,30,NKR_YBTC_X_PD_X_20170911-20170930,ASG,Facebook,CPE (Cost per Engagement),Run of Site,X,NKR_YBTC_X_ASG_FCBK_CPE_ROS_X,,,X,Social,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,Demographic,None,None,X,,,NKR_YBTC_X_X_ASG_SOC_DMT_FCBK_CPE_NSV_ROS_BT-DM-XX-XX_X_X_0911-0930,Consumer Product,X,NKR_YBTC_X_CRP_FCBK_X_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,02,Not Applicable,30s,09,11,09,30,NKR_YBTC_X_CRP_MC_X_02_XX_30s_0911-0930,/?xid=crm_NKR_YBTC_X_FCBK
Comedy Central,South Park,S21,Tune-In,X,2017,09,11,2017,12,07,CCL_STPK_S21_TI_X_20170911-20171207,ASG,DBM,Dynamic CPM,Run of Exchange,Display,CCL_STPK_S21_ASG_GDBM_DCI_ROE_Display,E01,E10,X,Display Banner,Desktop/Mobile/Tablet,Static Image,Behavioral,None,None,None,VMN1P-YTRemarketing,300,250,CCL_STPK_S21_E01-E10_ASG_DIS_DMT_GDBM_DCI_IMG_ROE_BT-XX-XX-XX_VMN1P-YTRemarketing_300x250_0911-1207,Pre-Premiere,X,CCL_STPK_S21_PPR_GDBM_300x250_X,Comedy Central,South Park,S21,Day Date Time,X,01,Not Applicable,,09,11,09,12,CCL_STPK_S21_PPR_DT_X_01_XX_300x250_0911-0912,/?xrs=crm_CCL_STPK_S21_GDBM
Comedy Central,South Park,S21,Tune-In,X,2017,09,11,2017,12,07,CCL_STPK_S21_TI_X_20170911-20171207,ASG,DBM,Dynamic CPM,Run of Exchange,Display,CCL_STPK_S21_ASG_GDBM_DCI_ROE_Display,E01,E10,X,Display Banner,Desktop/Mobile/Tablet/ConnectedTV,Responsive Static Image,Behavioral,None,None,None,X,1024,768,CCL_STPK_S21_E01-E10_ASG_DIS_ALL_GDBM_DCI_RSI_ROE_BT-XX-XX-XX_X_1024x768_0911-1207,Pre-Premiere,X,CCL_STPK_S21_PPR_GDBM_1024x768_X,N/A,N/A,N/A,Day Date Time,X,01,Not Applicable,,09,11,09,12,CCL_STPK_S21_PPR_DT_X_01_XX_1024x768_0911-0912,/?xrs=crm_CCL_STPK_S21_GDBM
Comedy Central,South Park,S21,Tune-In,X,2017,09,11,2017,12,07,CCL_STPK_S21_TI_X_20170911-20171207,ASG,DBM,Dynamic CPM,Run of Exchange,Video,CCL_STPK_S21_ASG_GDBM_DCI_ROE_Video,E01,E10,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,VMN1P-YTRemarketing,,,CCL_STPK_S21_E01-E10_ASG_VID_DMT_GDBM_DCI_NSV_ROE_BT-XX-XX-XX_VMN1P-YTRemarketing_X_0911-1207,Pre-Premiere,X,CCL_STPK_S21_PPR_GDBM_X_X,N/A,N/A,N/A,Day Date Time,X,01,Not Applicable,15s,09,11,09,12,CCL_STPK_S21_PPR_DT_X_01_XX_15s_0911-0912,/?xrs=crm_CCL_STPK_S21_GDBM
Nick Retail,Shimmer and Shine at Walmart,N/A,Product,X,2017,09,12,2017,09,30,NKR_SSWM_X_PD_X_20170912-20170930,ASG,Pinterest,Dynamic CPC,Run of Site,X,NKR_SSWM_X_ASG_PNST_DCC_ROS_X,,,X,Social,Desktop/Mobile/Tablet,Static Image,Behavioral,None,None,None,X,1,1,NKR_SSWM_X_X_ASG_SOC_DMT_PNST_DCC_IMG_ROS_BT-XX-XX-XX_X_1x1_0912-0930,Consumer Product,X,NKR_SSWM_X_CRP_PNST_1x1_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),Backpack,01,Not Applicable,,09,15,09,30,NKR_SSWM_X_CRP_MC_Backpack_01_XX_1x1_0915-0930,/?xid=crm_NKR_SSWM_X_PNST
MTV,Are You The One,S06,Tune-In,X,2017,09,14,2017,09,20,MTV_AYTO_S06_TI_X_20170914-20170920,ASG,YouTube,Dynamic CPV (Cost per View),Run of Site,X,MTV_AYTO_S06_ASG_YTBE_DVW_ROS_X,E01,E02,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,VMN1P-YTRemarketing,,,MTV_AYTO_S06_E01-E02_ASG_VID_DMT_YTBE_DVW_NSV_ROS_BT-XX-XX-XX_VMN1P-YTRemarketing_X_0914-0920,Pre-Premiere,TrueView,MTV_AYTO_S06_PPR_YTBE_X_TrueView,N/A,N/A,N/A,Tonight,X,01,Not Applicable,30s,09,17,09,18,MTV_AYTO_S06_PPR_TN_X_01_XX_30s_0917-0918,/?xrs=crm_MTV_AYTO_S06_YTBE
Nick Retail,Shimmer and Shine at Walmart,N/A,Product,X,2017,09,12,2017,09,30,NKR_SSWM_X_PD_X_20170912-20170930,ASG,Gemini,Dynamic CPC,Run of Exchange,X,NKR_SSWM_X_ASG_GMNI_DCC_ROE_X,,,X,Display Banner,Desktop/Mobile/Tablet,Static Image,Behavioral,Demographic,None,None,X,1,1,NKR_SSWM_X_X_ASG_DIS_DMT_GMNI_DCC_IMG_ROE_BT-DM-XX-XX_X_1x1_0912-0930,Consumer Product,X,NKR_SSWM_X_CRP_GMNI_1x1_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),32,01,Not Applicable,,09,12,09,17,NKR_SSWM_X_CRP_MC_32_01_XX_1x1_0912-0917,/?xid=crm_NKR_SSWM_X_GMNI
TV Land,Lopez,N/A,Awareness,X,2017,09,12,2017,09,12,TVL_LOPZ_X_AW_X_20170912-20170912,ASG,Facebook,Dynamic CPV (Cost per View),Run of Site,X,TVL_LOPZ_X_ASG_FCBK_DVW_ROS_X,,,X,Social,Desktop/Mobile/Tablet,Responsive Static Image,Behavioral,None,None,None,X,1,1,TVL_LOPZ_X_X_ASG_SOC_DMT_FCBK_DVW_RSI_ROS_BT-XX-XX-XX_X_1x1_0912-0912,Social Boost,X,TVL_LOPZ_X_SLB_FCBK_1x1_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,15s,09,12,09,12,TVL_LOPZ_X_SLB_MC_X_01_XX_1x1_0912-0912,/?xrs=crm_TVL_LOPZ_X_FCBK
Comedy Central,Jim Jefferies Show,S01,Tune-In,X,2017,09,18,2017,09,26,CCL_JJFS_S01_TI_X_20170918-20170926,ASG,DBM,Dynamic CPM,Run of Exchange,X,CCL_JJFS_S01_ASG_GDBM_DCI_ROE_X,E01,E02,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,CCL_JJFS_S01_E01-E02_ASG_VID_DMT_GDBM_DCI_NSV_ROE_BT-XX-XX-XX_X_X_0918-0926,Pre-Premiere,X,CCL_JJFS_S01_PPR_GDBM_X_X,N/A,N/A,N/A,Tuesday,X,01,Not Applicable,15s,09,18,09,18,CCL_JJFS_S01_PPR_TU_X_01_XX_15s_0918-0918,/?xrs=crm_CCL_JJFS_S01_GDBM
Comedy Central,Tosh.O,S9C,Tune-In,X,2017,09,18,,09,26,CCL_TOSH_S9C_TI_X_20170918-20170926,ASG,DBM,Dynamic CPM,Run of Exchange,Display,CCL_TOSH_S9C_ASG_GDBM_DCI_ROE_Display,E01,E02,X,Display Banner,Desktop/Mobile/Tablet,Static Image,Behavioral,None,None,None,X,300,600,CCL_TOSH_S9C_E01-E02_ASG_DIS_DMT_GDBM_DCI_IMG_ROE_BT-XX-XX-XX_X_300x600_0918-0926,Pre-Premiere,X,CCL_TOSH_S9C_PPR_GDBM_300x600_X,N/A,N/A,N/A,Tuesday,X,01,Not Applicable,15s,09,18,09,18,CCL_TOSH_S9C_PPR_TU_X_01_XX_300x600_0918-0918,/?xrs=crm_CCL_TOSH_S9C_GDBM
Nick Franchise,Spongebob Squarepants,N/A,Tune-In,YBTC-Social-Incremental,2017,09,12,,09,27,NKF_SPSQ_X_TI_YBTC-Social-Incremental_20170912-20170927,ASG,Pinterest,Dynamic CPC,Run of Site,X,NKF_SPSQ_X_ASG_PNST_DCC_ROS_X,,,X,Social,Desktop/Mobile/Tablet,Static Image,Contextual,None,None,None,X,1,1,NKF_SPSQ_X_X_ASG_SOC_DMT_PNST_DCC_IMG_ROS_CT-XX-XX-XX_X_1x1_0912-0927,Social Boost,X,NKF_SPSQ_X_SLB_PNST_1x1_X,N/A,N/A,N/A,Now,X,01,Not Applicable,,09,12,09,25,NKF_SPSQ_X_SLB_NW_X_01_XX_1x1_0912-0925,/?xid=crm_NKF_SPSQ_X_PNST
VH1,Hip Hop Honors ,Tentpole,Social Acquisition,X,2017,09,16,2017,09,18,VH1_HPHH_TPL_AC_X_20170916-20170918,ASG,DBM,Dynamic CPM,Run of Exchange,X,VH1_HPHH_TPL_ASG_GDBM_DCI_ROE_X,,,2017,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,VH1_HPHH_TPL_2017_ASG_VID_DMT_GDBM_DCI_NSV_ROE_BT-XX-XX-XX_X_X_0916-0918,Pre-Premiere,X,VH1_HPHH_TPL_PPR_GDBM_X_X,N/A,N/A,N/A,Monday,X,01,Not Applicable,30s,09,16,09,16,VH1_HPHH_TPL_PPR_MO_X_01_XX_30s_0916-0916,/?xrs=crm_VH1_HPHH_TPL_GDBM
VH1,Hip Hop Honors ,Tentpole,Tune-In,X,2017,09,17,2017,09,18,VH1_HPHH_TPL_TI_X_20170917-20170918,ASG,YouTube,Dynamic CPV (Cost per View),Run of Site,InStream,VH1_HPHH_TPL_ASG_YTBE_DVW_ROS_InStream,,,2017,Video,Desktop/Mobile/Tablet,Skippable Video,Behavioral,None,None,None,Instream,,,VH1_HPHH_TPL_2017_ASG_VID_DMT_YTBE_DVW_SVD_ROS_BT-XX-XX-XX_Instream_X_0917-0918,Pre-Premiere,InStream,VH1_HPHH_TPL_PPR_YTBE_X_InStream,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,30s,09,16,09,18,VH1_HPHH_TPL_PPR_MC_X_01_XX_30s_0916-0918,/?xrs=crm_VH1_HPHH_TPL_YTBE
VH1,Hip Hop Honors ,Tentpole,Tune-In,X,2017,09,17,2017,09,18,VH1_HPHH_TPL_TI_X_20170917-20170918,ASG,Instagram,Dynamic CPV (Cost per View),Run of Site,X,VH1_HPHH_TPL_ASG_INGM_DVW_ROS_X,,,2017,Social,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,VH1_HPHH_TPL_2017_ASG_SOC_DMT_INGM_DVW_NSV_ROS_BT-XX-XX-XX_X_X_0917-0918,Pre-Premiere,X,VH1_HPHH_TPL_PPR_INGM_X_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,30s,09,16,09,18,VH1_HPHH_TPL_PPR_MC_X_01_XX_30s_0916-0918,/?xrs=crm_VH1_HPHH_TPL_INGM
VH1,Hip Hop Honors ,Tentpole,Tune-In,X,2017,09,17,2017,09,18,VH1_HPHH_TPL_TI_X_20170917-20170918,ASG,Twitter,Dynamic CPV (Cost per View),Run of Site,X,VH1_HPHH_TPL_ASG_TWTR_DVW_ROS_X,,,2017,Social,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,VH1_HPHH_TPL_2017_ASG_SOC_DMT_TWTR_DVW_NSV_ROS_BT-XX-XX-XX_X_X_0917-0918,Pre-Premiere,X,VH1_HPHH_TPL_PPR_TWTR_X_X,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,30s,09,17,09,18,VH1_HPHH_TPL_PPR_MC_X_01_XX_30s_0917-0918,/?xrs=crm_VH1_HPHH_TPL_TWTR
VH1,Hip Hop Honors ,Tentpole,Tune-In,X,2017,09,17,2017,09,18,VH1_HPHH_TPL_TI_X_20170917-20170918,ASG,YouTube,Dynamic CPM,Run of Site,Bumpers,VH1_HPHH_TPL_ASG_YTBE_DCI_ROS_Bumpers,,,2017,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,Bumpers,,,VH1_HPHH_TPL_2017_ASG_VID_DMT_YTBE_DCI_NSV_ROS_BT-XX-XX-XX_Bumpers_X_0917-0918,Pre-Premiere,Bumpers,VH1_HPHH_TPL_PPR_YTBE_X_Bumpers,N/A,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,05s,09,18,09,18,VH1_HPHH_TPL_PPR_MC_X_01_XX_05s_0918-0918,/?xrs=crm_VH1_HPHH_TPL_YTBE
Comedy Central,,,,,2017,,,2017,,,,ASG,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,
BET,Janet Jackson Sweepstakes,N/A,Awareness,X,2017,09,15,2017,09,30,BET_JJSW_X_AW_X_20170915-20170930,ASG,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,Now,X,01,Not Applicable,,,,,,,
Nick Consumer Marketing,Lemoncello,N/A,Tune-In,X,2017,09,25,2017,10,09,NCM_LMCL_X_TI_X_20170925-20171009,ASG,Playwire,CPM,Run of Site,FunBrain,NCM_LMCL_X_ASG_PLWR_CPM_ROS_FunBrain,E01,E01,X,Display Banner,Desktop,Static Image,Contextual,Day Parting,None,None,X,728,90,NCM_LMCL_X_X_ASG_DIS_DXX_PLWR_CPM_IMG_ROS_CT-DP-XX-XX_X_728x90_0925-1009,Pre-Premiere,X,NCM_LMCL_X_PPR_PLWR_728x90_X,N/A,N/A,N/A,Wednesday,X,01,Not Applicable,,09,25,10,02,NCM_LMCL_X_PPR_WE_X_01_XX_728x90_0925-1002,/?xid=crm_NCM_LMCL_X_PLWR
Comedy Central,The Opposition with Jordan Klepper,S01,Tune-In,X,2017,09,22,2017,09,28,CCL_TOJK_S01_TI_X_20170922-20170928,ASG,DBM,Dynamic CPM,Run of Exchange,Display,CCL_TOJK_S01_ASG_GDBM_DCI_ROE_Display,E01,E04,X,Display Banner,Desktop/Mobile/Tablet,Static Image,Behavioral,None,None,None,X,300,250,CCL_TOJK_S01_E01-E04_ASG_DIS_DMT_GDBM_DCI_IMG_ROE_BT-XX-XX-XX_X_300x250_0922-0928,Sustaining,X,CCL_TOJK_S01_SUS_GDBM_300x250_X,N/A,N/A,N/A,Weeknights ,X,01,Not Applicable,,09,26,09,28,,/?xrs=crm_CCL_TOJK_S01_GDBM
Comedy Central,The Opposition with Jordan Klepper,S01,Tune-In,X,2017,09,22,2017,09,28,CCL_TOJK_S01_TI_X_20170922-20170928,ASG,DBM,Dynamic CPM,Run of Exchange,Video,CCL_TOJK_S01_ASG_GDBM_DCI_ROE_Video,E01,E04,X,Video,Desktop/Mobile/Tablet,Non-Skippable Video,Behavioral,None,None,None,X,,,CCL_TOJK_S01_E01-E04_ASG_VID_DMT_GDBM_DCI_NSV_ROE_BT-XX-XX-XX_X_X_0922-0928,Sustaining,X,CCL_TOJK_S01_SUS_GDBM_X_X,N/A,N/A,N/A,Weeknights ,X,01,Not Applicable,30s,09,26,09,28,,/?xrs=crm_CCL_TOJK_S01_GDBM
